,SYMBOL,NAME OF COMPANY, SERIES, DATE OF LISTING, PAID UP VALUE, MARKET LOT, ISIN NUMBER, FACE VALUE
768,IOC,Indian Oil Corporation Limited,EQ,1996-01-24 00:07:00,10,1,INE242A01010,10
339,CORALFINAC,Coral India Finance & Housing Limited,EQ,1996-01-25 00:03:00,2,1,INE558D01021,2
878,KEYFINSERV,Keynote Financial Services Limited,EQ,1996-01-26 00:06:00,10,1,INE681C01015,10
1152,NORBTEAEXP,Norben Tea & Exports Limited,EQ,1996-01-26 00:06:00,10,1,INE369C01017,10
651,HERITGFOOD,Heritage Foods Limited,EQ,1996-01-27 00:11:00,5,1,INE978A01027,5
1770,VISAKAIND,Visaka Industries Limited,EQ,1996-01-28 00:08:00,10,1,INE392A01013,10
241,BINDALAGRO,Oswal Chemicals & Fertilizers Limited,EQ,1996-01-28 00:08:00,10,1,INE143A01010,10
854,KAMATHOTEL,Kamat Hotels (I) Limited,BE,1996-01-29 00:05:00,10,1,INE967C01018,10
1338,REMSONSIND,Remsons Industries Limited,EQ,1996-01-31 00:01:00,10,1,INE474C01015,10
479,EUROTEXIND,Eurotex Industries and Exports Limited,EQ,1996-01-31 00:01:00,10,1,INE022C01012,10
637,HCL-INSYS,HCL Infosystems Limited,EQ,1997-01-01 00:01:00,2,1,INE236A01020,2
518,GAIL,GAIL (India) Limited,EQ,1997-01-02 00:04:00,10,1,INE129A01019,10
748,INDSWFTLAB,Ind-Swift Laboratories Limited,EQ,1997-01-02 00:07:00,10,1,INE915B01019,10
31,ADANIENT,Adani Enterprises Limited,EQ,1997-01-04 00:06:00,1,1,INE423A01024,1
738,INDNIPPON,India Nippon Electricals Limited,EQ,1997-01-07 00:05:00,5,1,INE092B01025,5
335,CONCOR,Container Corporation of India Limited,EQ,1997-01-07 00:05:00,5,1,INE111A01025,5
395,DENORA,De Nora India Limited,EQ,1997-01-07 00:08:00,10,1,INE244A01016,10
615,GUJALKALI,Gujarat Alkalies and Chemicals Limited,EQ,1997-01-07 00:08:00,10,1,INE186A01019,10
492,FDC,FDC Limited,EQ,1997-01-07 00:08:00,1,1,INE258B01022,1
662,HINDALCO,Hindalco Industries Limited,EQ,1997-01-08 00:01:00,1,1,INE038A01020,1
733,INDIANCARD,Indian Card Clothing Company Limited,EQ,1997-01-08 00:01:00,10,1,INE061A01014,10
1313,RAMCOCEM,The Ramco Cements Limited,EQ,1997-01-09 00:04:00,1,1,INE331A01037,1
867,KCP,KCP Limited,EQ,1997-01-09 00:04:00,1,1,INE805C01028,1
868,KCPSUGIND,KCP Sugar and Industries Corporation Limited,EQ,1997-01-11 00:06:00,1,1,INE790B01024,1
1429,SCI,Shipping Corporation Of India Limited,EQ,1997-01-13 00:08:00,10,1,INE109A01011,10
39,ADROITINFO,Adroit Infotech Limited,EQ,1997-01-13 00:08:00,10,1,INE737B01033,10
1499,SKMEGGPROD,SKM Egg Products Export (India) Limited,BE,1997-01-14 00:03:00,10,1,INE411D01015,10
747,INDRAMEDCO,Indraprastha Medical Corporation Limited,EQ,1997-01-17 00:04:00,10,1,INE681B01017,10
699,ICICIBANK,ICICI Bank Limited,EQ,1997-01-17 00:09:00,2,1,INE090A01021,2
562,GMDCLTD,Gujarat Mineral Development Corporation Limited,EQ,1997-01-17 00:12:00,2,1,INE131A01031,2
200,BANKBARODA,Bank of Baroda,EQ,1997-01-19 00:02:00,2,1,INE028A01039,2
466,ENGINERSIN,Engineers India Limited,EQ,1997-01-20 00:08:00,5,1,INE510A01028,5
379,DCMFINSERV,DCM Financial Services Limited,BE,1997-01-21 00:05:00,10,1,INE891B01012,10
1320,RANEHOLDIN,Rane Holdings Limited,EQ,1997-01-24 00:09:00,10,1,INE384A01010,10
972,MADRASFERT,Madras Fertilizers Limited,EQ,1997-01-25 00:07:00,10,1,INE414A01015,10
795,JAICORPLTD,Jai Corp Limited,EQ,1997-01-26 00:11:00,1,1,INE070D01027,1
201,BANKINDIA,Bank of India,EQ,1997-01-30 00:04:00,10,1,INE084A01016,10
1414,SAREGAMA,Saregama India Limited,EQ,1997-01-30 00:07:00,1,1,INE979A01025,1
100,ANTGRAPHIC,Antarctica Limited,EQ,1997-01-31 00:12:00,1,1,INE414B01021,1
117,ARCHIES,Archies Limited,EQ,1998-01-02 00:09:00,2,1,INE731A01020,2
904,KOTHARIPRO,Kothari Products Limited,EQ,1998-01-03 00:06:00,10,1,INE823A01017,10
263,BRITANNIA,Britannia Industries Limited,EQ,1998-01-05 00:11:00,1,1,INE216A01030,1
156,ATUL,Atul Limited,EQ,1998-01-06 00:05:00,10,1,INE100A01010,10
1566,SUNDARMFIN,Sundaram Finance Limited,EQ,1998-01-07 00:01:00,10,1,INE660A01013,10
1327,RCF,Rashtriya Chemicals and Fertilizers Limited,EQ,1998-01-07 00:01:00,10,1,INE027A01015,10
1518,SOUTHBANK,The South Indian Bank Limited,EQ,1998-01-08 00:12:00,1,1,INE683A01023,1
1683,TRIGYN,Trigyn Technologies Limited,EQ,1998-01-09 00:04:00,10,1,INE948A01012,10
1820,ZEEL,Zee Entertainment Enterprises Limited,EQ,1998-01-09 00:09:00,1,1,INE256A01028,1
1744,VEDL,Vedanta Limited,EQ,1998-01-13 00:05:00,1,1,INE205A01025,1
171,AXISBANK,Axis Bank Limited,EQ,1998-01-16 00:11:00,2,1,INE238A01034,2
668,HINDPETRO,Hindustan Petroleum Corporation Limited,EQ,1998-01-17 00:06:00,10,1,INE094A01015,10
85,AMBUJACEM,Ambuja Cements Limited,EQ,1998-01-18 00:02:00,2,1,INE079A01024,2
133,ASAHIINDIA,Asahi India Glass Limited,EQ,1998-01-18 00:03:00,1,1,INE439A01020,1
1614,TATACONSUM,TATA CONSUMER PRODUCTS LIMITED,EQ,1998-01-18 00:11:00,1,1,INE192A01025,1
1621,TATASTEEL,Tata Steel Limited,EQ,1998-01-18 00:11:00,1,1,INE081A01020,1
976,MAHAPEXLTD,Maha Rashtra Apex Corporation Limited,BE,1998-01-21 00:01:00,10,1,INE843B01013,10
1618,TATAMOTORS,Tata Motors Limited,EQ,1998-01-22 00:07:00,2,1,INE155A01022,2
